song_name,album,sung_by,year_released,highlights
"In the Morrow","Bear Creek","Brandi Carlile",2012,"Album track on Bear Creek"
"Just Kids","Bear Creek","Brandi Carlile",2012,"Closing track of Bear Creek; nostalgic and reflective"
"Wherever Is Your Heart","The Firewatchers Daughter","Brandi Carlile",2015,"Opening track and single; Triple A Airplay #8; gospel-influenced opener that showcases her voice at full power"
"The Eye","The Firewatchers Daughter","Brandi Carlile",2014,"Lead single; Triple A Airplay #27; released as teaser before the album"
"The Things I Regret","The Firewatchers Daughter","Brandi Carlile",2015,"Album track; Rolling Stone called it one of the record's most rockin moments"
"Mainstream Kid","The Firewatchers Daughter","Brandi Carlile",2015,"Album track; critics praised its grit as one of the boldest things she had done"
"Beginning to Feel the Years","The Firewatchers Daughter","Brandi Carlile",2015,"Album track; fan favourite from Firewatchers Daughter"
"Wilder (Were Chained)","The Firewatchers Daughter","Brandi Carlile",2015,"Album track on The Firewatchers Daughter"
"Blood Muscle Skin and Bone","The Firewatchers Daughter","Brandi Carlile",2015,"Album track; visceral and powerful"
"I Belong to You","The Firewatchers Daughter","Brandi Carlile",2015,"Album track on The Firewatchers Daughter"
"Alibi","The Firewatchers Daughter","Brandi Carlile",2015,"Album track on The Firewatchers Daughter"
"The Stranger at My Door","The Firewatchers Daughter","Brandi Carlile",2015,"Album track on The Firewatchers Daughter"
"Heroes and Songs","The Firewatchers Daughter","Brandi Carlile",2015,"Album track on The Firewatchers Daughter"
"Murder in the City","The Firewatchers Daughter","Brandi Carlile",2015,"Closing track; cover of The Avett Brothers song; fan favourite live performance"
"Every Time I Hear That Song","By the Way I Forgive You","Brandi Carlile",2018,"Opening track and single from By the Way I Forgive You; AUS #49; emotional and raw"
"The Joke","By the Way I Forgive You","Brandi Carlile",2017,"Lead Grammy-nominated single; Song of the Year nomination at 61st Grammys; Bubbling Under Hot 100 #4; standing ovation performance at Grammy ceremony made it iconic"
"Hold Out Your Hand","By the Way I Forgive You","Brandi Carlile",2018,"Album track on By the Way I Forgive You"
"The Mother","By the Way I Forgive You","Brandi Carlile",2018,"Fan favourite; deeply personal song written for her daughter Evangeline; one of her most beloved compositions"
"Whatever You Do","By the Way I Forgive You","Brandi Carlile",2018,"Album track on By the Way I Forgive You"
"Fulton County Jane Doe","By the Way I Forgive You","Brandi Carlile",2018,"Emotionally intense album track; based on a real unidentified victim"
"Sugartooth","By the Way I Forgive You","Brandi Carlile",2018,"Album track on By the Way I Forgive You"
"Most of All","By the Way I Forgive You","Brandi Carlile",2018,"Album track on By the Way I Forgive You"
"Harder to Forgive","By the Way I Forgive You","Brandi Carlile",2018,"Album track on By the Way I Forgive You"
"Party of One","By the Way I Forgive You","Brandi Carlile feat. Sam Smith",2018,"Closing track and single; features Sam Smith; US Pop #35 Adult Contemporary; music video released for both solo and duet versions"
"Right on Time","In These Silent Days","Brandi Carlile",2021,"Lead single; Digital Song Sales #26; Grammy nominated; raw and confessional opener"
"You and Me on the Rock","In These Silent Days","Brandi Carlile feat. Lucius",2021,"Features Lucius; one of her most joyful recordings; love song to her wife Catherine"
"This Time Tomorrow","In These Silent Days","Brandi Carlile",2021,"Album track; reflective and melodic"
"Broken Horses","In These Silent Days","Brandi Carlile",2021,"Single; Rock Digital Song Sales #10; powerful and sweeping"
"Letter to the Past","In These Silent Days","Brandi Carlile",2021,"Album track; emotionally rich"
"Mama Werewolf","In These Silent Days","Brandi Carlile",2021,"Album track; one of the more playful tracks on the record"
"When Youre Wrong","In These Silent Days","Brandi Carlile",2021,"Album track on In These Silent Days"
"Stay Gentle","In These Silent Days","Brandi Carlile",2021,"Album track; tender and intimate"
"Sinners Saints and Fools","In These Silent Days","Brandi Carlile",2021,"Album track on In These Silent Days"
"Throwing Good After Bad","In These Silent Days","Brandi Carlile",2021,"Closing track of In These Silent Days; reflective conclusion to the album"
"Returning to Myself","Returning to Myself","Brandi Carlile",2025,"Title track and lead single; lyrics written as a poem the night after her second Hollywood Bowl show with Joni Mitchell; debuted #7 on Billboard 200 with 35K units in first week"
"Human","Returning to Myself","Brandi Carlile",2025,"Single from the album; Triple A Airplay #6; SNL performance highlight; explosive rocker"
"A Woman Oversees","Returning to Myself","Brandi Carlile",2025,"Album track; co-written with Aaron Dessner and Justin Vernon"
"A War with Time","Returning to Myself","Brandi Carlile",2025,"Single from Returning to Myself; reflective on mortality and time"
"Anniversary","Returning to Myself","Brandi Carlile",2025,"Also appeared on the Elton John/Carlile album Who Believes in Angels; tender song about watching children develop their own identities"
"Church and State","Returning to Myself","Brandi Carlile",2025,"Single; explosive rock track; political undertones; SNL performance standout"
"Joni","Returning to Myself","Brandi Carlile",2025,"Tribute to Joni Mitchell written directly from Carliles experience stewarding Mitchells live comeback; deeply personal"
"You Without Me","Returning to Myself","Brandi Carlile",2025,"Album track; also appeared on the Who Believes in Angels collaboration with Elton John"
"No One Knows Us","Returning to Myself","Brandi Carlile",2025,"Album track; co-produced with Andrew Watt"
"A Long Goodbye","Returning to Myself","Brandi Carlile",2025,"Closing track of Returning to Myself; produced with Aaron Dessner Andrew Watt and Justin Vernon"
"The Rose of Laura Nyro","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Opening track of the Elton John/Carlile collaborative album; tribute to singer-songwriter Laura Nyro; #1 UK Albums Chart"
"Little Richards Bible","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Album track; tribute to Little Richard; features raw rock and roll energy"
"Swing for the Fences","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Single; UK Singles Chart #85; life-affirming LGBTQ+ anthem; video directed by Xavier Dolan"
"Never Too Late","Who Believes in Angels?","Brandi Carlile & Elton John",2024,"Oscar-nominated song (Best Original Song 97th Academy Awards) written for Elton Johns Disney Plus documentary of the same name; UK Singles Chart #47"
"Who Believes in Angels?","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Title track and single; UK Singles Chart #23; features both artists at their most anthemic"
"The River Man","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Album track; written and recorded in 20 days with Bernie Taupin and Andrew Watt"
"A Little Light","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Album track on Who Believes in Angels"
"Someone to Belong To","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Album track on Who Believes in Angels"
"When This Old World Is Done with Me","Who Believes in Angels?","Brandi Carlile & Elton John",2025,"Closing track of Who Believes in Angels; emotionally sweeping finale"
"Highwomen","The Highwomen","The Highwomen",2019,"Opening track and title track of The Highwomen album; reworking of The Highwaymen classic with women recast as the heroes; written by Carlile Shires and Jimmy Webb with Webbs blessing; Grammy winning debut from the supergroup"
"Redesigning Women","The Highwomen","The Highwomen",2019,"Debut single; feminist anthem introducing the supergroup to the world; Natalie Hemby and Rodney Clawson written"
"Loose Change","The Highwomen","The Highwomen",2019,"Maren Morris-led track; one of the more understated moments on the album"
"Crowded Table","The Highwomen","The Highwomen",2019,"Grammy Award for Best Country Song 2021; mission statement of the group about inclusion and making room; Carlile Hemby and Lori McKenna written"
"My Name Cant Be Mama","The Highwomen","The Highwomen",2019,"Written by Carlile Morris and Shires; humorous and potent song about motherhood and needing space"
"If She Ever Leaves Me","The Highwomen","The Highwomen",2019,"Written by Amanda Shires and Jason Isbell; LGBTQ love song; one of the first mainstream country songs about same-sex relationships"
"Old Soul","The Highwomen","The Highwomen",2019,"Maren Morris-led track; written by Morris Luke Dick and Laura Veltz"
"Dont Call Me","The Highwomen","The Highwomen",2019,"Amanda Shires-led track; written by Shires and Peter Levin"
"My Only Child","The Highwomen","The Highwomen",2019,"Written by Hemby Shires and Miranda Lambert"
"Heaven Is a Honky Tonk","The Highwomen","The Highwomen",2019,"Raucous country track featuring Sheryl Crow and Yola; written by Carlile Hemby and Ray LaMontagne"
"Cocktail and a Song","The Highwomen","The Highwomen",2019,"Amanda Shires solo composition; poetic meditation on mortality"
"Wheels of Laredo","The Highwomen","The Highwomen",2019,"Closing track of The Highwomen; written by Carlile and the Hanseroth twins"
"Curtain Call","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Opening track of the Benaroya Hall live album; recorded during two sold-out shows November 2010 with the Seattle Symphony; AllMusic called it Carliles best album"
"Sixty Years On","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Elton John cover performed with Seattle Symphony at Benaroya Hall"
"Looking Out (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live version from Benaroya Hall"
"Before It Breaks (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live version from Benaroya Hall"
"I Will (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live version from Benaroya Hall"
"Shadow on the Wall (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live version from Benaroya Hall"
"Dreams (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live version from Benaroya Hall"
"Turpentine (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live version from Benaroya Hall"
"The Sound of Silence (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Simon and Garfunkel cover performed with Seattle Symphony"
"The Story (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live orchestral version of her signature song at Benaroya Hall; features horns woodwinds and strings"
"Pride and Joy (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Live version from Benaroya Hall"
"Hallelujah (Live)","Live at Benaroya Hall with the Seattle Symphony","Brandi Carlile",2011,"Leonard Cohen cover closing the Benaroya Hall live album"
"In the Canyon Haze (Live)","In the Canyon Haze","Brandi Carlile",2022,"Live deluxe version of In These Silent Days recorded in a canyon setting; released as a companion album"
"You and Me on the Rock (In the Canyon Haze)","In the Canyon Haze","Brandi Carlile feat. Lucius",2022,"Live canyon version of the In These Silent Days duet with Lucius; released as a single"
"Hallelujah (Live at KCRW)","Non-album single","Brandi Carlile",2005,"Early live single released via KCRW; the recording that first brought her to wider attention"
"Fall Apart Again (Single)","Non-album single","Brandi Carlile",2005,"Single release from debut album era"
"What Can I Say (Single)","Non-album single","Brandi Carlile",2006,"Single from debut album; 2006 Columbia re-release"
"Downpour","Non-album single","Brandi Carlile",2009,"Non-album single released between Give Up the Ghost and Bear Creek"
"Can't Help Falling in Love","Non-album single","Brandi Carlile",2011,"Elvis Presley cover released as a non-album single"
"Free Ride","Non-album single","Brandi Carlile",2015,"Non-album single used in a film; Edgar Winter Group cover"
"Carried Me with You","Onward (Soundtrack)","Brandi Carlile",2020,"From the Pixar film Onward soundtrack; AUS #33; emotional and sweeping"
"Black Hole Sun","A Rooster Says EP","Brandi Carlile",2020,"Soundgarden cover; UK Physical Sales Chart #10; live performance staple"
"A Beautiful Noise","Non-album single","Brandi Carlile & Alicia Keys",2021,"Collaboration with Alicia Keys; Digital Song Sales #8; appeared on Alicia digital edition"
"Take Me Home Country Roads","Non-album single","Brandi Carlile",2021,"John Denver cover from the Clarice TV series soundtrack"
"I Put a Spell on You","Non-album single","Brandi Carlile feat. Renee Elise Goldsberry",2021,"From The Social Dilemma Netflix documentary; features Renee Elise Goldsberry"
"Speak Your Mind","Non-album single","Brandi Carlile",2021,"From the Netflix animated series We the People; won Children and Family Emmy for Outstanding Short Form Program"
"Home","Non-album single","Brandi Carlile",2023,"From Ted Lasso Season 3 soundtrack"
"America the Beautiful","Non-album single","Brandi Carlile",2026,"Performed live at Super Bowl LX in Santa Clara"
"Closer to Fine","Non-album single","Brandi Carlile & Catherine Carlile",2023,"Indigo Girls cover recorded with her wife Catherine Carlile for the Barbie The Album soundtrack; Rock Digital Song Sales #7"
"Damage Gets Done","Non-album single","Brandi Carlile & Hozier",2024,"Collaboration with Hozier from his Unreal Unearth album; Alternative Songs #16; fan favourite"
"Youre Gonna Go Far","Non-album single","Noah Kahan feat. Brandi Carlile",2024,"From Noah Kahan Stick Season (Forever); US Alternative #4; UK #23 one of her highest charting features"
"How","Non-album single","Brandi Carlile & Marcus Mumford",2022,"Collaboration with Marcus Mumford from his self-titled album"
"Thousand Miles","Non-album single","Miley Cyrus feat. Brandi Carlile",2023,"From Endless Summer Vacation; US #68 Portugal #6; one of her most commercially successful features"
"Dear Insecurity","Non-album single","Brandy Clark feat. Brandi Carlile",2023,"From Brandy Clark self-titled album; Americana collaboration"
"Dance Around It","Non-album single","Lucius feat. Brandi Carlile & Sheryl Crow",2022,"From Lucius Second Nature; Triple A #31; three-way female collaboration"
"Common","Non-album single","Maren Morris feat. Brandi Carlile",2019,"From Maren Morris Girl album"
"I Remember Everything","Non-album single","Brandi Carlile",2021,"John Prine cover from Broken Hearts and Dirty Windows: Songs of John Prine Vol. 2; tribute to Prine who died in 2020"
"Simple Things","Non-album single","Elton John feat. Brandi Carlile",2021,"From Elton Johns The Lockdown Sessions album"
"Run to Me","Non-album single","Barry Gibb feat. Brandi Carlile",2021,"Bee Gees song featuring Brandi Carlile; Barry Gibb collaboration"
"Come Tomorrow","Non-album single","Dave Matthews Band feat. Brandi Carlile",2019,"From Dave Matthews Band Come Tomorrow album; Triple A #24"
"Good with God","Non-album single","Old 97s feat. Brandi Carlile",2017,"From Old 97s Graveyard Whistling album; Triple A #11"
"Making Believe","Non-album single","Brandi Carlile feat. Willie Nelson",2013,"Collaboration with Willie Nelson"
"Already Home","Non-album single","Brandi Carlile feat. Ha Ash",2008,"Collaboration with Ha Ash"
"The NeverEnding Story","Non-album single","Brandi Carlile feat. Shooter Jennings",2016,"Cover of the classic Limahl song with Shooter Jennings"
"Angel from Montgomery","Non-album single","Brandi Carlile feat. Buddy Miller",2016,"John Prine cover featuring Buddy Miller"
"Again Today","The Story","Brandi Carlile",2007,"Track 13 of The Story; Pearl Jam covered it on Cover Stories (2017); segues into the hidden track after 2+ minutes of silence"
"Hiding My Heart","The Story","Brandi Carlile",2007,"Hidden track on The Story following Again Today; written by Tim Hanseroth; T Bone Burnett did not love it so it ended up buried; Adele covered it as a bonus track on her album 21 which became the original inspiration for the entire Cover Stories tribute album"
