song_name,album,sung_by,year_released,highlights
"God Rap","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape"
"Rush","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape; features Krizz Kaliko"
"Life","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape"
"Adrift","RM (Mixtape)","RM (BTS)",2015,"From RM's debut mixtape"
"I Believe","RM (Mixtape)","RM (BTS)",2015,"Closing track of RM's debut mixtape"
"Intro: The Most Beautiful Moment in Life","The Most Beautiful Moment in Life Pt.1","Suga (BTS)",2015,"Third EP intro; Suga solo; sets the tone of the HYYH era"
"I Need U","The Most Beautiful Moment in Life Pt.1","BTS",2015,"Lead single; first major mainstream hit; darker emotional storytelling; first MV with mature themes; peaked top 5 Gaon"
"Hold Me Tight","The Most Beautiful Moment in Life Pt.1","BTS",2015,"Album track; emotional and tender"
"Skit: Expectation","The Most Beautiful Moment in Life Pt.1","BTS",2015,"Skit track"
"Dope","The Most Beautiful Moment in Life Pt.1","BTS",2015,"Single; high-energy anthem about hard work; breakthrough viral hit; iconic choreography"
"Boyz With Fun","The Most Beautiful Moment in Life Pt.1","BTS",2015,"Fun carefree track; fan favourite at concerts; V makes up new dance steps live"
"Converse High","The Most Beautiful Moment in Life Pt.1","BTS",2015,"Cute quirky track; J-Hope and Jimin charming performance; RM guide track uploaded to SoundCloud"
"Moving On","The Most Beautiful Moment in Life Pt.1","BTS",2015,"About bittersweet feelings of leaving their first tiny dorm for a bigger apartment"
"Outro: Love Is Not Over","The Most Beautiful Moment in Life Pt.1","BTS Vocal Line",2015,"Vocal line outro; emotional depth"
"Fantastic","Non-album single","RM (BTS)",2015,"Solo promotional track for South Korean release of the Fantastic Four movie; ft. Mandy Ventrice"
"Intro: Never Mind","The Most Beautiful Moment in Life Pt.2","BTS Rap Line",2015,"Fourth EP intro; rap line; sets defiant tone"
"Run","The Most Beautiful Moment in Life Pt.2","BTS",2015,"Lead single; continuation of HYYH narrative; passionate performance; strong streaming numbers"
"Butterfly","The Most Beautiful Moment in Life Pt.2","BTS",2015,"Ethereal EDM ballad; lyrically sophisticated; precursor to Wings-era artistic growth"
"Whalien 52","The Most Beautiful Moment in Life Pt.2","BTS",2015,"Metaphor for loneliness using the 52Hz whale; emotionally resonant lyricism"
"Ma City","The Most Beautiful Moment in Life Pt.2","BTS",2015,"Member hometowns celebrated; fun regionalist theme"
"Baepsae (Silver Spoon)","The Most Beautiful Moment in Life Pt.2","BTS",2015,"Sharp social commentary on generational inequality; one of BTS's most intellectually praised songs"
"Skit: One Night in a Strange City","The Most Beautiful Moment in Life Pt.2","BTS",2015,"Skit track"
"Autumn Leaves (Dead Leaves)","The Most Beautiful Moment in Life Pt.2","BTS",2015,"Sophisticated jazz-influenced hip-hop; lyrically complex; underrated deep cut"
"Outro: House of Cards","The Most Beautiful Moment in Life Pt.2","BTS Vocal Line",2015,"Vocal line outro; haunting and beautiful"
"Fire (Burning Up)","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Lead single; explosive high-energy banger; YOLO theme; massive performance hit"
"Save Me","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Single; trap-influenced; choreography synchronized perfectly with music"
"Epilogue: Young Forever","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Single; poetic reflection on youth and impermanence; fan favourite"
"Butterfly (Prologue Mix)","The Most Beautiful Moment in Life: Young Forever","BTS Vocal Line",2016,"Vocal line alternate version of Butterfly; on Young Forever only"
"Butterfly (Alternative Mix)","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Alternative mix; on Young Forever only"
"I Need U (Urban Mix)","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Urban mix of I Need U; on Young Forever only"
"I Need U (Remix)","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Remix version; on Young Forever only"
"Run (Ballad Mix)","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Stripped back ballad version of Run; on Young Forever only"
"Run (Alternative Mix)","The Most Beautiful Moment in Life: Young Forever","BTS",2016,"Alternative mix of Run; on Young Forever only"
"Intro: Dt sugA","Agust D (Mixtape)","Suga/Agust D",2016,"Intro to Suga's debut mixtape as Agust D; features DJ Friz"
"Agust D","Agust D (Mixtape)","Suga/Agust D",2016,"Self-titled track from debut mixtape; aggressive self-assertion; showcased technical skill"
"Give It to Me","Agust D (Mixtape)","Suga/Agust D",2016,"From Agust D mixtape; aggressive self-assured rap"
"Skit (Agust D)","Agust D (Mixtape)","Suga/Agust D",2016,"Skit on Agust D mixtape"
"724148","Agust D (Mixtape)","Suga/Agust D",2016,"From Agust D mixtape; introspective track"
"140503 at Dawn","Agust D (Mixtape)","Suga/Agust D",2016,"From Agust D mixtape; melancholic reflection"
"The Last","Agust D (Mixtape)","Suga/Agust D",2016,"Brutally honest about mental illness and suicidal ideation; one of K-pop's most important tracks on mental health"
"Tony Montana","Agust D (Mixtape)","Suga/Agust D",2016,"Features Yankie; Scarface reference; Jimin performed a version with Suga at Third Muster which became legendary"
"Interlude: Dream, Reality","Agust D (Mixtape)","Suga/Agust D",2016,"Interlude from Agust D mixtape"
"So Far Away","Agust D (Mixtape)","Suga/Agust D",2016,"Closing track; features Suran; dreams and distance; fan favourite"
"Introduction: Youth","Youth","BTS",2016,"Intro to second Japanese album"
"Good Day","Youth","BTS",2016,"Original Japanese track on Youth album"
"Wishing on a Star","Youth","BTS",2016,"Original Japanese track on Youth; BTS performed Korean version at 6th Muster SooWooZoo but not officially recorded"
"For You","Youth","BTS",2015,"Original Japanese track; their first #1 single in Japan on Oricon"
"Run (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Fire (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Dope (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Save Me (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Boyz With Fun (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Baepsae (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Butterfly (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"I Need U (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Epilogue: Young Forever (Japanese)","Youth","BTS",2016,"Japanese version on Youth album"
"Intro: Boy Meets Evil","Wings","j-hope (BTS)",2016,"Wings album intro; j-hope solo; sets the dark artistic tone of Wings era"
"Blood Sweat & Tears","Wings","BTS",2016,"Lead single; baroque-pop influences; artistic career turning point; Jungkook growth as vocalist showcased; swept Korean music awards; first #1 on US World Digital Songs"
"Begin","Wings","Jungkook (BTS)",2016,"Jungkook's solo on Wings; tribute to BTS members who shaped him; emotionally raw"
"Lie","Wings","Jimin (BTS)",2016,"Jimin's Wings solo; psychologically complex; experimental vocal performance; fan and critical favourite"
"Stigma","Wings","V (BTS)",2016,"V's R&B solo; explores guilt and identity; showcased his unique lower vocal register"
"First Love","Wings","Suga (BTS)",2016,"Suga's deeply personal solo about his relationship with piano and music; considered one of BTS's best solo tracks"
"Reflection","Wings","RM (BTS)",2016,"RM's contemplative solo about identity and self-worth; written at Namsan in Seoul"
"MAMA","Wings","j-hope (BTS)",2016,"j-hope's heartfelt tribute to his mother; emotional live performances made it iconic"
"Awake","Wings","Jin (BTS)",2016,"Jin's introspective solo about feeling behind others; vocal showcase; fan favourite"
"Lost","Wings","BTS Vocal Line",2016,"Atmospheric group vocal track about uncertainty and searching"
"BTS Cypher Pt.4","Wings","BTS Rap Line",2016,"Final and most celebrated cypher; addressed haters and claimed their place; includes iconic Suga bars"
"Am I Wrong","Wings","BTS",2016,"Politically charged social commentary; unusual for K-pop; praised for boldness"
"21st Century Girl","Wings","BTS",2016,"Female empowerment anthem; bright energetic sound"
"2!3!","Wings","BTS",2016,"Fan dedication song; fans traditionally sing second verse back to BTS; emotionally significant"
"Interlude: Wings","Wings","BTS",2016,"Album interlude; later renamed Outro: Wings for You Never Walk Alone"
"Its Definitely You","Non-album OST single","V & Jin (BTS)",2016,"V and Jin duet from the Hwarang K-drama soundtrack"
"Spring Day","You Never Walk Alone","BTS",2017,"Widely considered BTS's greatest song; references Ursula K. Le Guin story; set records; timeless emotional depth; RM sings opening on recording but j-hope sings it live"
"Not Today","You Never Walk Alone","BTS",2017,"Powerful anthem for the marginalized; explosive choreography and visuals"
"A Supplementary Story: You Never Walk Alone","You Never Walk Alone","BTS",2017,"Hopeful closing track; emotional resonance with fan community"
"4 OClock","Non-album single","V & RM (BTS)",2017,"V and RM duet; written and released for 4th BTS Festa"
"Intro: Serendipity","Love Yourself: Her","Jimin (BTS)",2017,"Jimin's intro solo; dreamy neo-soul; praised for production and vocal delicacy"
"DNA","Love Yourself: Her","BTS",2017,"Lead single; first BTS song to chart on Billboard Hot 100; bright synth-pop; reached global mainstream audiences"
"Best of Me","Love Yourself: Her","BTS",2017,"Collaboration with The Chainsmokers; marked global crossover ambition"
"Dimple","Love Yourself: Her","BTS Vocal Line",2017,"Vocal line track; charming and affectionate; fan favourite especially for Jimin's performance"
"Pied Piper","Love Yourself: Her","BTS",2017,"Meta self-aware commentary on fan obsession; witty and sophisticated"
"Skit: Billboard Music Awards Speech","Love Yourself: Her","BTS",2017,"Skit track documenting their first Billboard Music Awards appearance"
"MIC Drop","Love Yourself: Her","BTS",2017,"Confidence anthem; Steve Aoki remix became a major global hit; first K-pop boy group song certified gold by RIAA; multiple versions exist"
"Go Go","Love Yourself: Her","BTS",2017,"Satirical commentary on youth spending; catchy; fan favourite live; dance challenge by Williams Family incorporated into official choreo"
"Outro: Her","Love Yourself: Her","BTS Rap Line",2017,"Rap line outro; fan favourite for its wordplay on love and music"
"Skit: Hesitation and Fear","Love Yourself: Her","BTS",2017,"Hidden CD-only track; spoken word"
"Sea","Love Yourself: Her","BTS",2017,"Hidden CD-only track; emotional and raw; fan favourite for its candid self-reflection"
"Hope World","Hope World","j-hope (BTS)",2018,"Title track of j-hope's debut solo mixtape; charted Billboard 200 at #38; highest for a K-pop solo mixtape at time"
"P.O.P (Piece of Peace) Pt.1","Hope World","j-hope (BTS)",2018,"From Hope World mixtape; positive energy track"
"Daydream","Hope World","j-hope (BTS)",2018,"Lead single from Hope World; whimsical and playful"
"Base Line","Hope World","j-hope (BTS)",2018,"Funky bass-heavy track; fan favourite from mixtape"
"Hangsang","Hope World","j-hope (BTS)",2018,"From Hope World; features Supreme Boi"
"Airplane","Hope World","j-hope (BTS)",2018,"Autobiographical reflection on rise to fame; later got a Pt.2 sequel with BTS on Love Yourself: Tear"
"Blue Side (Outro)","Hope World","j-hope (BTS)",2018,"Atmospheric closing track of Hope World; full version released later in 2021"
"Euphoria","Love Yourself: Wonder / Love Yourself: Answer","Jungkook (BTS)",2018,"Jungkook's intro; dream pop; widely considered one of BTS's most beautiful songs; DJ Swivel Forever Remix also released on YouTube"
"Intro: Ringwanderung","Face Yourself","BTS",2018,"Intro to third Japanese album"
"Don't Leave Me","Face Yourself","BTS",2018,"Original Japanese track on Face Yourself; dramatic and intense"
"Crystal Snow","Face Yourself","BTS",2018,"Original Japanese track; emotional ballad; fan favourite; has a McDonalds Japan-exclusive Tokima remix"
"Let Go","Face Yourself","BTS",2018,"Original Japanese track on Face Yourself; emotional"
"Outro: Crack","Face Yourself","BTS",2018,"Outro to third Japanese album"
"Blood Sweat & Tears (Japanese)","Face Yourself","BTS",2018,"Japanese version on Face Yourself"
"Best of Me (Japanese)","Face Yourself","BTS",2018,"Japanese version on Face Yourself"
"DNA (Japanese)","Face Yourself","BTS",2018,"Japanese version on Face Yourself"
"Not Today (Japanese)","Face Yourself","BTS",2018,"Japanese version on Face Yourself"
"MIC Drop (Japanese)","Face Yourself","BTS",2018,"Japanese version on Face Yourself"
"Go Go (Japanese)","Face Yourself","BTS",2018,"Japanese version on Face Yourself"
"Spring Day (Japanese)","Face Yourself","BTS",2018,"Japanese version on Face Yourself"
"Intro: Singularity","Love Yourself: Tear","V (BTS)",2018,"V's theatrical intro; dark neo-soul; V's most celebrated pre-solo vocal performance; critically lauded"
"Fake Love","Love Yourself: Tear","BTS",2018,"Lead single; experimental emo-influenced pop; debuted at #10 on Billboard Hot 100; massive chart success"
"The Truth Untold","Love Yourself: Tear","BTS Vocal Line",2018,"Emotional ballad; vocal line showcase; fan favourite"
"134340","Love Yourself: Tear","BTS",2018,"Pluto as metaphor for feeling cast aside; beloved deep cut"
"Paradise","Love Yourself: Tear","BTS",2018,"Album track; honest reflection on not having a dream; resonated widely"
"Love Maze","Love Yourself: Tear","BTS",2018,"Hopeful mid-tempo; fan favourite B-side"
"Magic Shop","Love Yourself: Tear","BTS",2018,"Fan-dedicated track co-written by Jungkook; extremely meaningful to ARMY; psychodramatic concept"
"Airplane Pt.2","Love Yourself: Tear","BTS",2018,"Sequel to j-hope's solo Airplane; Latin-influenced; flamboyant"
"Anpanman","Love Yourself: Tear","BTS",2018,"Cheerful superhero concept based on beloved Japanese anime character; fan favourite; concert opener"
"So What","Love Yourself: Tear","BTS",2018,"High-energy carefree track; concert staple"
"Outro: Tear","Love Yourself: Tear","BTS Rap Line",2018,"Emotional rap outro; written during the time members considered disbanding; Tear has three meanings: crying, ripping apart, and fear"
"Trivia: Just Dance","Love Yourself: Answer","j-hope (BTS)",2018,"j-hope's interlude solo; celebrates dance as his core identity"
"Serendipity (Full Length Edition)","Love Yourself: Answer","Jimin (BTS)",2018,"Extended version of Serendipity from Her; vocal line showcase"
"Idol","Love Yourself: Answer","BTS",2018,"Lead single; defiant celebration of identity; traditional Korean music influences; addressed critics; Nicki Minaj rap on digital-only version"
"Trivia: Seesaw","Love Yourself: Answer","Suga (BTS)",2018,"Suga's interlude about relationship push-pull dynamics; fan favourite"
"Im Fine","Love Yourself: Answer","BTS",2018,"Samples Save Me melody; parallel song to Save Me; RM's rap parts are a reversal line for line of his Save Me rap"
"Trivia: Love","Love Yourself: Answer","RM (BTS)",2018,"RM's interlude; plays on Korean word for love and music; linguistic wordplay praised"
"Epiphany","Love Yourself: Answer","Jin (BTS)",2018,"Jin's self-love anthem; powerful vocal performance; considered his definitive solo moment pre-solo career"
"Answer: Love Myself","Love Yourself: Answer","BTS",2018,"Love Yourself campaign closing track; tied to UNICEF partnership; emotionally resonant finale"
"DNA (Pedal 2 LA Remix)","Love Yourself: Answer","BTS",2018,"Remix of DNA included on Answer"
"Fake Love (Rocking Vibe Remix)","Love Yourself: Answer","BTS",2018,"Remix of Fake Love included on Answer"
"MIC Drop (Steve Aoki Remix)","Love Yourself: Answer","BTS",2018,"The BTS/Steve Aoki remix version included on Answer; most performed version internationally"
"tokyo","mono.","RM (BTS)",2018,"Opening track of RM's second mixtape mono.; ambient playlist concept; introspective"
"seoul","mono.","RM (BTS)",2018,"RM ode to Seoul with complex feelings; produced with HONNE; fan favourite from mono."
"moonchild","mono.","RM (BTS)",2018,"Gentle introspective ballad for night owls; most loved track from mono."
"badbye","mono.","RM (BTS)",2018,"From mono.; features eAeon"
"uhgood","mono.","RM (BTS)",2018,"From mono.; reflective"
"everythingoes","mono.","RM (BTS)",2018,"From mono.; hopeful closing piece"
"forever rain","mono.","RM (BTS)",2018,"Lead single from mono.; piano-driven melancholic masterpiece; considered one of BTS's most artistically mature productions"
"Promise","Non-album solo single","Jimin (BTS)",2018,"Self-produced Christmas gift to fans; tender and earnest; became a massive streaming hit"
"Intro: Persona","Map of the Soul: Persona","RM (BTS)",2019,"RM's philosophical rap intro; identity exploration; well-received critically"
"Boy With Luv","Map of the Soul: Persona","BTS feat. Halsey",2019,"Lead single; massive global hit; Billboard Hot 8 debut; collaboration with Halsey; Korean name is A Poem for Small Things"
"Make It Right","Map of the Soul: Persona","BTS",2019,"Collaboration with Ed Sheeran; warm pop; Lauv remix with extended English opening also released"
"Jamais Vu","Map of the Soul: Persona","Jin, j-hope & Jungkook (BTS)",2019,"Vocal unit exploring psychological concept of familiarity feeling foreign"
"Dionysus","Map of the Soul: Persona","BTS",2019,"Greek mythology inspired; powerful rap-heavy concert opener; JK injured face on original choreo so move was changed"
"Mikrokosmos","Map of the Soul: Persona","BTS",2019,"Fan tribute; performed at stadiums; one of the most emotionally powerful live songs"
"Home","Map of the Soul: Persona","j-hope (BTS)",2019,"j-hope's solo on Persona; cheerful autobiographical; contains callback to No More Dream in lyrics"
"Dream Glow","BTS World (OST)","Jin, Jimin & Jungkook (BTS) feat. Charli XCX",2019,"From BTS World game soundtrack; features Charli XCX"
"A Brand New Day","BTS World (OST)","j-hope & V (BTS) feat. Zara Larsson",2019,"From BTS World game soundtrack; features Zara Larsson"
"All Night","BTS World (OST)","RM & Suga (BTS) feat. Juice WRLD",2019,"From BTS World game soundtrack; features Juice WRLD"
"Heartbeat","BTS World (OST)","BTS",2019,"Full group OST from BTS World game"
"Tonight","Non-album solo single","Jin (BTS)",2019,"Written and released for 6th BTS Festa; heartfelt and emotional"
"Scenery","Non-album solo single","V (BTS)",2019,"V's self-produced solo single; intimate and cinematic"
"Winter Bear","Non-album solo single","V (BTS)",2019,"V's self-produced English-language solo single; gentle and cozy"
"Chicken Noodle Soup","Non-album solo single","j-hope feat. Becky G",2019,"Adaptation of 2006 song by Webstar; j-hope learned to dance to the original; bilingual track with Becky G"
"Lights","Non-album Japanese single","BTS",2019,"Original Japanese single released between MOTS:Persona and Journey albums; included on The Journey album"
"Intro: Shadow","Map of the Soul: 7","Suga (BTS)",2020,"Suga's dark introspective intro about the fear of success; widely considered among BTS's best productions"
"Black Swan","Map of the Soul: 7","BTS",2020,"Art film pre-release; explores fear of losing passion for music; sophisticated conceptually; Sia featured on alternate version"
"Filter","Map of the Soul: 7","Jimin (BTS)",2020,"Jimin's solo; explores adaptability and persona; Latin-influenced; fan favourite"
"Louder Than Bombs","Map of the Soul: 7","BTS",2020,"Introspective collaboration; fan and critic favourite deep cut; Troye Sivan co-wrote"
"ON","Map of the Soul: 7","BTS",2020,"Lead single; epic anthem about perseverance; cinematic MV with marching band; strong chart performance; Sia featured on alternate digital version"
"UGH!","Map of the Soul: 7","BTS Rap Line",2020,"Sharp commentary on online hate culture; aggressive and cathartic"
"00:00 (Zero O'Clock)","Map of the Soul: 7","BTS Vocal Line",2020,"Soothing midnight reflection; vocal line only; deeply comforting"
"Inner Child","Map of the Soul: 7","V (BTS)",2020,"V's emotional letter to his younger self; fan favourite solo on the album"
"Friends","Map of the Soul: 7","Jimin & V (BTS)",2020,"Jimin and V unit track; celebrates their friendship; fan favourite"
"Moon","Map of the Soul: 7","Jin (BTS)",2020,"Jin's solo tribute to ARMY; warm pop sound"
"Respect","Map of the Soul: 7","RM & Suga (BTS)",2020,"Playful rap duo track; explores their dynamic; humorous and technically accomplished"
"We Are Bulletproof: the Eternal","Map of the Soul: 7","BTS",2020,"Callback to debut; career-spanning retrospective; emotionally overwhelming for long-time fans"
"Outro: Ego","Map of the Soul: 7","j-hope (BTS)",2020,"j-hope's retrospective outro; warm and autobiographical; fan favourite"
"ON feat. Sia","Map of the Soul: 7 (Digital Edition)","BTS feat. Sia",2020,"Digital-only alternate version of ON featuring Australian singer Sia"
"Interlude: Shadow (Extended)","Map of the Soul: 7","Suga (BTS)",2020,"Extended version of the Shadow concept on MOTS:7"
"Sweet Night","Non-album OST single","V (BTS)",2020,"OST for K-drama Itaewon Class; sweeping emotional ballad; became massive hit even for non-K-drama fans"
"Intro: Calling","Map of the Soul: 7 The Journey","BTS",2020,"Instrumental intro to fourth Japanese album"
"Stay Gold","Map of the Soul: 7 The Journey","BTS",2020,"Lead single from The Journey; bright optimistic pop; became one of the most loved Japanese-language BTS tracks; theme for Japanese TV drama"
"Your Eyes Tell","Map of the Soul: 7 The Journey","BTS",2020,"Beautiful emotional ballad; based on Japanese film; written by Jungkook; collaboration with Fujii Kaze"
"Outro: The Journey","Map of the Soul: 7 The Journey","BTS",2020,"Instrumental outro to fourth Japanese album"
"ON (Japanese)","Map of the Soul: 7 The Journey","BTS",2020,"Japanese version on The Journey"
"Black Swan (Japanese)","Map of the Soul: 7 The Journey","BTS",2020,"Japanese version on The Journey"
"Make It Right (Japanese)","Map of the Soul: 7 The Journey","BTS",2020,"Japanese version on The Journey"
"Dionysus (Japanese)","Map of the Soul: 7 The Journey","BTS",2020,"Japanese version on The Journey"
"Interlude: Shadow (Daechwita Version)","D-2","Suga/Agust D",2020,"Alternate shadow version on D-2; trap and orchestral hybrid"
"Daechwita","D-2","Suga/Agust D",2020,"Traditional Korean music meets hip-hop; cinematic MV with dual Suga roles; viral global hit"
"Strange","D-2","Suga/Agust D & RM",2020,"Philosophical hip-hop; RM collaboration on D-2; critically appreciated"
"Moon","D-2","Suga/Agust D",2020,"Track from D-2; not the same as Jin's Moon on MOTS:7"
"Burn It","D-2","Suga/Agust D feat. MAX",2020,"From D-2; features MAX; intense emotional release"
"People","D-2","Suga/Agust D",2020,"From D-2; introspective; later got a sequel People Pt.2 with IU on D-DAY"
"Uh Oh","D-2","Suga/Agust D",2020,"From D-2; dark and brooding"
"Honsool","D-2","Suga/Agust D",2020,"From D-2; drinking alone theme; heartfelt"
"Dear My Friend","D-2","Suga/Agust D feat. Kim Jong Wan",2020,"Nostalgic warm track; fan favourite B-side of D-2; features Kim Jong Wan of Nell"
"Dynamite","Non-album single","BTS",2020,"First fully English-language song; debuted at #1 on Billboard Hot 100; historic milestone; disco-pop; Grammy nominated; multiple remixes released"
"Life Goes On","BE","BTS",2020,"Lead single; COVID-era anthem; first Korean-language song to debut at #1 on Billboard Hot 100; acoustic emotional comfort"
